title,year,conference
 Svdd: An algorithm for designing overcomplete dictio-naries for sparse representation,2006, Trans
 Representation learning: A review andnew perspectives,2013, IEEE Trans
 Learning efficient structuredsparse models,2012, In Proceedings of the 29th International Conference on Machine Learning
 An iterative thresholding algorithm for linear inverseproblems with a sparsity constraint,1097, Communications on Pure and Applied Mathematics
 Learning a deep convolutionalnetwork for image super-resolution,2014, In ECCV (4)
 Deep sparse rectifier neural networks,2011, InAISTATS
 Accurate image super-resolution using very deepconvolutional networks,2016, In CVPR
 Rectifier nonlinearities improve neural net-work acoustic models,2013, In in ICML Workshop on Deep Learning for Audio
 Understanding deep convolutional networks,2016, CoRR
 Image restoration using very deep convolutionalencoder-decoder networks with symmetric skip connections,2016, In Advances in Neural InformationProcessing Systems 29: Annual Conference on Neural Information Processing Systems 2016
 Convolutional neural networks analyzed viaconvolutional sparse coding,2016, CoRR
 Working locally thinking globally: Theoreticalguarantees for convolutional sparse coding,2017, IEEE Trans
 Efficient learn-ing of sparse representations with an energy-based model,2006, In Advances in Neural InformationProcessing Systems 19
 RAISR: rapid and accurate image super reso-lution,2017, IEEE Trans
 Anchored neighborhood regression for fastexample-based super-resolution,2013, In ICCV
 Image super-resolution via sparserepresentation,1057, Trans
