title,year,conference
 Detecting semantic anomalies,2020, AAAI
 Layer normalization,2016, CoRR
 Recognition in terra incognita,2018, CoRR
 A systematic study of the class imbalanceproblem in convolutional neural networks,2018, Neural Networks
 Class-balanced loss based oneffective number of samples,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Modulating early visual processing by language,2017, NIPS
 Learning models with uniform performance via distributionallyrobust optimization,2018, arXiv preprint arXiv:1810
 Conditional variance penalties and domain shiftrobustness,2017, CoRR
 A baseline for detecting misclassified and out-of-distributionexamples in neural networks,2017, ICLR
 Logistic regression in rare events data,2001, Political analysis
 Adam: A method for stochastic optimization,2014, InternationalConference on Learning Representations
 Generalization without systematicity: On the compositionalskills of sequence-to-sequence recurrent networks,2018, In ICML
 Deep domain generalization viaconditional invariant adversarial networks,2018, In ECCV
 Domain generalization viaconditional invariant representations,2018, 2018b
 Towards explaining the regularization effect of initial largelearning rate in training neural networks,2019, In Advances in Neural Information Processing Systems32
 Microsoft coco: Common objects in context,2014, ArXiv
 Spectral normalization forgenerative adversarial networks,2018, CoRR
 Learning explanations that are hard to vary,2020, arXivpreprint arXiv:2009
 Moment matchingfor mUlti-soUrce domain adaptation,2019, In Proceedings of the IEEE International Conference onComputer Vision
 DistribUtionally robUst neUralnetworks for groUp shifts: On the importance of regUlarization for worst-case generalization,2020, ICLR
 Thepitfalls of simplicity bias in neUral networks,2020, CoRR
 Deephashing network for UnsUpervised domain adaptation,2017, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Spectral norm regUlarization for improving the generalizabilityof deep learning,2017, CoRR
 Wide residUal networks,2016, In BMVC
 Places: A 10million image database for scene recognition,2017, IEEE Transactions on Pattern Analysis and MachineIntelligence
57 ± 1,2021,28	26
