title,year,conference
 Verifiable reinforcement learning via policyextraction,2018, Neural Information Processing Systems
 Neural logicmachines,2019, International Conference on Learning Representations
 Efficient and expressive knowledge base completion usingsubgraph feature extraction,2015, In Proceedings of the 2015 Conference on Empirical Methods inNatural Language Processing
 Visualizing and understanding atariagents,2018, International Conference On Machine Learning
 Neural logic reinforcement learning,2019, International Conference onMachine Learning
 Hierarchicaldeep reinforcement learning: Integrating temporal abstraction and intrinsic motivation,2016, NeuralInformation Processing Systems
 Hierarchicaldeep reinforcement learning: integrating temporal abstraction and intrinsic motivation,2016, NeuralInformation Processing System
 Relational retrieval using a combination of path-constrained randomwalks,2010, Machine Learning
 Explainable reinforcement learn-ing through a causal lens,2020, Proceedings of the AAAI Conference on Artificial Intelligence
 Human-level control through deep reinforcementlearning,2015, Nature
 Interestingness elements for explainable reinforcement learn-ing: Understanding agents’ capabilities and limitations,0004, 288:103367
 Mastering the game of gowithout human knowledge,2017, Nature
 Generation of policy-level explanations for reinforcementlearning,2019, Proceedings of the AAAI Conference on Artificial Intelligence
 Moet: Interpretable and verifiable reinforcement learning via mixture of expert trees,2019, arXiv:Learning
 Attention is all you need,2017, Neural Information ProcessingSystems
 Differentiable learning of logical rules for knowledgebase reasoning,2017, In Advances in Neural Information Processing Systems
 Relational deep reinforce-ment learning,2018, arXiv: Learning
