title,year,conference
 The perception-distortion tradeoff,2018, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Depth synthesisand local warps for plausible image-based navigation,2013, ACM Transactions on Graphics
 The cityscapes dataset for semanticurban scene understanding,2016, In The IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Image super-resolution using deepconvolutional networks,2015, IEEE transactions on pattern analysis and machine intelligence
 Depth map prediction from a single image using amulti-scale deep network,2014, In Advances in neural information processing systems
 Cam-convs: Camera-aware multi-scale convolutions for single-view depth,2019, In The IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 Deepstereo: Learning to predictnew views from the world’s imagery,2016, In The IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Unsupervised monocular depth es-timation with left-right consistency,2017, In The IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 A novel monocular disparity estimation network with domain trans-formation and ambiguity learning,2019, In 2019 IEEE International Conference on Image Processing(ICIP)
 Single image depth estimation trained via depth from defocus cues,2019, In TheIEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Automatic photo pop-up,2005, In ACM SIGGRAPH2005 Papers
 Enhancing the spatial resolutionof stereo images using a parallax prior,2018, In The IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Perceptual losses for real-time style transfer andsuper-resolution,2016, In European conference on computer vision
 Accurate image super-resolution using very deepconvolutional networks,2016, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Adam: A method for stochastic optimization,2014, CoRR
 Bridging stereo matching and optical flow viaspatiotemporal correspondence,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Content-preserving warps for 3dvideo stabilization,2009, In ACM SIGGRAPH 2009 Papers
 Selflow: Self-supervised learning of opticalflow,2019, In The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Singleview stereo matching,2018, In The IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Object scene flow for autonomous vehicles,2015, In Conference onComputer Vision and Pattern Recognition (CVPR)
 Video frame interpolation via adaptive separable convo-lution,2017, In The IEEE International Conference on Computer Vision (ICCV)
 Refine and distill: Exploitingcycle-inconsistency and knowledge distillation for unsupervised monocular depth estimation,2019, InThe IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Real-time single image and video super-resolution using an efficientsub-pixel convolutional neural network,2016, In Proceedings of the IEEE conference on computervision and pattern recognition
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Pushing the boundaries of view extrapolation with multiplane images,2019, In The IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 Learning monocular depth esti-mation infusing traditional stereo knowledge,2019, In The IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Unos: Unified unsu-pervised optical-flow and stereo-depth estimation by watching videos,2019, In The IEEE Conferenceon Computer Vision and Pattern Recognition (CVPR)
 On new view synthesis usingmultiview stereo,2007, In In Proc
 Deep3d: Fully automatic 2d-to-3d video conversionwith deep convolutional neural networks,2016, In European Conference on Computer Vision
 View synthesisby appearance flow,2016, In European conference on computer vision
 Stereo magnification:Learning view synthesis using multiplane images,2018, In SIGGRAPH
 The disparity refinement block is a relatively shallowauto-encoder with skip connections and rectangular convolutions as fusion layers in the decoderstage,2019, This allows to increase the receptive field size in the horizontal axis
5 and 0,2017,999) for the regression task with a batch size of 8 for 50 epochs
